"location","date","total_cases","new_cases","total_deaths","new_deaths","total_cases_per_million","new_cases_per_million","total_deaths_per_million","new_deaths_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","tests_units","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cvd_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_100k"
"China","2020-01-26",1988,665,56,15,1.381,0.462,0.039,0.01,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-01-27",2775,787,81,25,1.928,0.547,0.056,0.017,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-01-28",4528,1753,106,25,3.146,1.218,0.074,0.017,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-01-29",5994,1466,132,26,4.164,1.019,0.092,0.018,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-01-30",7734,1740,170,38,5.373,1.209,0.118,0.026,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-01-31",9714,1980,213,43,6.749,1.376,0.148,0.03,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-02-01",11809,2095,259,46,8.205,1.456,0.18,0.032,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-02-02",14399,2590,304,45,10.004,1.799,0.211,0.031,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-02-03",17211,2812,361,57,11.958,1.954,0.251,0.04,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-02-04",20448,3237,426,65,14.207,2.249,0.296,0.045,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-02-05",24320,3872,492,66,16.897,2.69,0.342,0.046,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
